uid,bank_account
Rwanda_uniqueid_625,No
Rwanda_uniqueid_1561,No
Rwanda_uniqueid_4806,Yes
Tanzania_uniqueid_4902,No
Rwanda_uniqueid_980,Yes
Rwanda_uniqueid_7043,Yes
Kenya_uniqueid_6064,Yes
Kenya_uniqueid_2230,Yes
Kenya_uniqueid_5278,Yes
Rwanda_uniqueid_3030,Yes
Uganda_uniqueid_1933,Yes
Rwanda_uniqueid_8447,No
Tanzania_uniqueid_263,No
Tanzania_uniqueid_1518,No
Kenya_uniqueid_2782,Yes
Tanzania_uniqueid_238,No
Kenya_uniqueid_4822,No
Tanzania_uniqueid_1468,Yes
Rwanda_uniqueid_1982,No
Rwanda_uniqueid_6840,Yes
Tanzania_uniqueid_5428,Yes
Tanzania_uniqueid_3134,No
Tanzania_uniqueid_2031,Yes
Rwanda_uniqueid_5439,No
Uganda_uniqueid_842,No
Kenya_uniqueid_5072,Yes
Tanzania_uniqueid_4136,Yes
Uganda_uniqueid_1019,Yes
Kenya_uniqueid_2773,Yes
Kenya_uniqueid_168,Yes
Rwanda_uniqueid_131,No
Kenya_uniqueid_3635,No
Rwanda_uniqueid_1772,No
Tanzania_uniqueid_2862,Yes
Kenya_uniqueid_641,No
Uganda_uniqueid_1034,Yes
Tanzania_uniqueid_2434,Yes
Rwanda_uniqueid_5952,Yes
Rwanda_uniqueid_7067,Yes
Kenya_uniqueid_3841,Yes
Tanzania_uniqueid_1627,No
Tanzania_uniqueid_2300,No
Rwanda_uniqueid_6436,No
Rwanda_uniqueid_1110,Yes
Kenya_uniqueid_4405,No
Tanzania_uniqueid_394,No
Rwanda_uniqueid_6941,Yes
Tanzania_uniqueid_4506,No
Kenya_uniqueid_1581,Yes
Rwanda_uniqueid_632,Yes
Rwanda_uniqueid_2012,No
Rwanda_uniqueid_4034,No
Rwanda_uniqueid_8033,No
Tanzania_uniqueid_2312,Yes
Uganda_uniqueid_207,No
Kenya_uniqueid_5438,Yes
Uganda_uniqueid_1556,No
Rwanda_uniqueid_4287,Yes
Tanzania_uniqueid_2701,Yes
Tanzania_uniqueid_846,No
Tanzania_uniqueid_625,No
Rwanda_uniqueid_2870,No
Rwanda_uniqueid_849,Yes
Rwanda_uniqueid_6710,Yes
Rwanda_uniqueid_5796,No
Rwanda_uniqueid_5538,No
Kenya_uniqueid_4848,No
Kenya_uniqueid_3423,Yes
Kenya_uniqueid_4707,No
Tanzania_uniqueid_6068,No
Tanzania_uniqueid_1032,No
Kenya_uniqueid_4448,No
Tanzania_uniqueid_188,No
Rwanda_uniqueid_2250,No
Uganda_uniqueid_1351,No
Rwanda_uniqueid_6880,Yes
Kenya_uniqueid_1636,Yes
Kenya_uniqueid_5981,No
Tanzania_uniqueid_6465,Yes
Rwanda_uniqueid_71,Yes
Tanzania_uniqueid_5667,No
Kenya_uniqueid_985,Yes
Rwanda_uniqueid_2519,Yes
Tanzania_uniqueid_1078,Yes
Kenya_uniqueid_281,Yes
Kenya_uniqueid_5200,No
Kenya_uniqueid_5043,Yes
Kenya_uniqueid_2153,No
Rwanda_uniqueid_1046,Yes
Uganda_uniqueid_1105,Yes
Kenya_uniqueid_260,No
Tanzania_uniqueid_1204,No
Kenya_uniqueid_3821,Yes
Kenya_uniqueid_3560,No
Rwanda_uniqueid_7431,No
Rwanda_uniqueid_7573,Yes
Kenya_uniqueid_964,Yes
Tanzania_uniqueid_4702,Yes
Rwanda_uniqueid_4507,Yes
Uganda_uniqueid_1967,No
Uganda_uniqueid_658,Yes
Uganda_uniqueid_21,No
Tanzania_uniqueid_5110,No
Rwanda_uniqueid_3130,No
Rwanda_uniqueid_2508,No
Kenya_uniqueid_504,Yes
Tanzania_uniqueid_3765,No
